State,Year,Crime_Total_Offense,Crime_Murder_Slaughter,Crime_Forcible_Rape,Crime_Robbery,Crime_Aggrevated_Assault,Crime_Property,Crime_Burglary,Crime_Larcency,Crime_Motor_Vehicle_Theft,Eco_Civilian_non_institutional_population,Eco_Total_Civilian_labourforce,Eco_Percent_of_population_Civilian_labourforce,Eco_Total_Employment_Civilian_labourforce,Eco_Percent_of_population_Employment_Civilian_labourforce,Eco_Total_Unemployment_Civilian_labourforce,Eco_Rate_Unemployment_Civilian_labourforce,Eco_Per_capita_disposable_personal_income,Eco_Per_Capita_GDP,Arms_AnyOtherWeapons,Arms_Combinations,Arms_Derringers,Arms_DestructiveDevices,Arms_FlareGuns,Arms_Machineguns,Arms_Pistols,Arms_Receivers_Frames,Arms_Revolvers,Arms_Rifles,Arms_Shotguns,Arms_Silencers,Arms_TearGasLaunchers,Arms_UnknownTypes,Arms_Total_Weapons,RPPs_All_items,RPPs_Goods,RPPs_Services_Rents,RPPs_Services_Other,Marijuana_Use_PastYear, Marijuana_Use_PastMonth,Cocaine,Alcohol,Tobacco,Cigarette,Serious_Mental_Illness,Any_Mental_Illness,Serious_Suicide_Thoughts,Major_Depression,Economic_BigMacIndex,Economic_HappinessIndex,PF_Total_law_enforcement_employees,PF_Total_officers_Male,PF_Total_officers_Female,PF_Total_Officers,PF_Total_civilians_Male,PF_Total_civilians_Female,PF_Total_civilians,PF_Number_of_agencies,PF_estimated_population
MASSACHUSETTS,2017,221710,173,2197,4871,17319,98575,17089,73946,7540,5581734,3689566,66.1,3551388,63.6,138178,3.7,57855,71553,0,2,11,0,0,0,1256,2,343,200,126,0,0,3,1943,109,102.4,121.7,108.3,1093,743,176,3544,1195,961,256,1109,247,408,5.2,7,20119,15045,1466,16511,1534,2074,3608,300,6342223
MICHIGAN,2017,403462,569,7031,6488,30738,179318,35641,124104,19573,7950150,4884100,61.4,4658713,58.6,225387,4.6,40855,46037,1,7,51,4,1,21,4174,16,1005,918,590,1,0,14,6803,92.8,97.4,80.9,94.7,1297,919,140,4399,2164,1795,349,1405,306,546,5.2,7,23856,14898,2183,17081,3195,3580,6775,568,9347361
MINNESOTA,2017,257715,113,2385,3621,7172,122212,18787,93446,9979,4354492,3057358,70.2,2953440,67.8,103918,3.4,47361,58446,1,2,19,0,0,6,2142,3,387,621,477,0,0,4,3662,97.9,101.9,95.9,94.6,579,332,76,2640,1032,829,178,765,190,284,5.2,7,14848,8560,1129,9689,2345,2814,5159,382,5553604
MISSISSIPPI,2017,171688,245,1091,2071,5119,81581,24710,52240,4631,2288322,1277602,55.8,1212553,53,65049,5.1,33281,33969,0,1,45,0,0,4,2626,6,667,629,426,0,0,0,4404,85.2,94.1,62.7,91.7,253,158,31,917,748,589,102,420,88,155,5.2,7,4437,2608,276,2884,655,898,1553,61,1153614
MISSOURI,2017,378926,600,2729,6351,22740,173253,30081,123251,19921,4773477,3063474,64.2,2948905,61.8,114569,3.7,40666,45555,3,2,48,1,0,4,4756,7,725,596,394,0,0,5,6541,89.5,95.6,72.9,92.2,643,401,79,2537,1341,1060,226,925,186,367,5.2,7,20492,13197,1491,14688,2274,3530,5804,527,6024515
MONTANA,2017,58411,41,613,295,3012,27225,3615,21018,2592,833243,525575,63.1,504871,60.6,20704,3.9,40463,42784,0,0,6,0,0,2,317,4,91,288,89,0,0,1,798,93.9,98,83.1,94.5,160,108,16,496,232,176,42,159,39,64,5.2,7,3034,1787,130,1917,491,626,1117,109,1042018
NEBRASKA,2017,93199,43,1191,968,3671,43663,6472,31988,5203,1461509,1011977,69.2,982435,67.2,29542,2.9,45360,59036,1,0,5,0,0,5,936,2,232,306,276,0,0,0,1763,89.8,95.1,74.6,91.6,162,111,25,897,404,320,61,252,57,94,5.2,7,4852,2954,391,3345,513,994,1507,135,1704166
NEVADA,2017,173311,274,1890,4841,9662,78322,20049,45461,12812,2325189,1460754,62.8,1387628,59.7,73126,5,41840,48397,1,2,26,1,0,5,3417,8,645,579,361,0,0,1,5046,96.5,94.4,96.7,99.2,384,272,56,1173,587,477,96,424,104,152,5.2,7,9831,5991,798,6789,817,2225,3042,55,2998039
NEW HAMPSHIRE,2017,39778,14,663,419,1572,18555,2574,15066,915,1105172,754682,68.3,734205,66.4,20477,2.7,52064,54952,0,0,2,0,0,1,157,4,34,58,42,0,0,1,299,106.5,101.4,116.6,106.2,201,141,25,720,254,200,56,203,52,88,5.2,7,3623,2517,247,2764,262,597,859,167,1255077
NEW JERSEY,2017,300776,324,1505,7895,10880,140086,23891,104025,12170,7051149,4454682,63.2,4248743,60.3,205939,4.6,55892,61170,4,1,15,0,0,3,2439,0,859,382,297,0,0,2,4002,113.6,102.4,129.9,116.5,841,506,138,3953,1547,1247,253,1115,235,417,5.2,7,40469,28308,3033,31341,3580,5548,9128,534,8708009
NEW MEXICO,2017,180971,148,1259,3722,11230,82306,17917,52617,11772,1623564,935259,57.6,880442,54.2,54817,5.9,36006,43668,2,1,16,0,0,2,1270,4,299,295,192,9,0,0,2090,92.4,95.6,80.1,98,276,190,34,828,425,342,68,276,63,103,5.2,7,4208,2646,287,2933,472,803,1275,99,1022817
NEW YORK,2017,671909,548,6324,20108,43819,300555,35002,252143,13410,15717607,9549078,60.8,9100976,57.9,448102,4.7,55200,72434,2,1,80,7,0,15,5131,6,1892,1165,831,0,0,21,9151,116,108.7,131.7,113.8,2270,1497,407,9058,3248,2682,590,2713,568,999,5.2,7,83642,53305,9128,62433,7680,13529,21209,404,19009435
NORTH CAROLINA5,2017,560336,591,2715,9350,24708,261486,64786,180902,15798,8025326,4936248,61.5,4715754,58.8,220494,4.5,39147,47282,2,4,93,0,0,4,8800,22,2162,2071,1493,2,0,6,14659,91.6,96.3,79.6,94.4,941,625,154,3702,2057,1677,359,1387,352,518,5.2,7,34950,21273,2797,24070,4973,5907,10880,520,10266068
NORTH DAKOTA,2017,35329,10,399,183,1533,16602,2942,11887,1773,579184,409752,70.7,398823,68.9,10929,2.7,47279,67574,0,0,3,0,0,3,271,1,55,139,91,2,0,0,565,90.4,94.9,78.2,91.4,62,37,9,362,161,122,26,103,26,40,5.2,7,2418,1542,207,1749,222,447,669,112,755052
OHIO,2017,598751,710,5859,11605,16509,282034,58573,203208,20253,9188303,5778729,62.9,5491543,59.8,287186,5,41488,50972,0,1,94,2,0,6,8964,15,1702,1132,823,1,1,7,12748,88.9,96,72,91.3,1233,780,168,4901,2745,2192,439,1759,404,670,5.2,7,17954,12080,1380,13460,1672,2822,4494,293,6713767
OKLAHOMA,2017,244066,242,2142,3000,12550,113066,28608,72207,12251,2999228,1835725,61.2,1758210,58.6,77515,4.2,39484,48723,2,3,15,1,0,626,1360,10,207,375,168,764,0,3,3534,88.6,95.5,69.9,92.4,352,204,53,1407,903,720,144,578,118,224,5.2,7,12945,8104,724,8828,1685,2432,4117,414,3929215
OREGON,2017,259118,104,1999,2432,7139,123722,17705,88877,17140,3329917,2088780,62.7,2002804,60.1,85976,4.1,42022,50349,0,0,40,2,2,9,2192,12,662,976,469,3,0,1,4368,100.5,100.4,106.3,97.2,879,643,101,2017,793,643,172,757,166,272,5.2,7,10729,6056,711,6767,1672,2290,3962,206,4083484
PENNSYLVANIA,2017,462560,739,4201,11793,23387,211220,32057,166178,12985,10244309,6426047,62.7,6112981,59.7,313066,4.9,46836,54246,7,11,74,1,1,12,6692,25,1736,1330,872,1,0,12,10774,97.6,99.7,86.4,101.5,1338,841,210,6031,2820,2196,441,1786,426,678,5.2,7,30731,23222,2617,25839,1947,2945,4892,1064,9774479
RHODE ISLAND,2017,39582,20,445,474,1521,18561,3217,13861,1483,858855,553122,64.4,528746,61.6,24376,4.4,46274,50195,0,0,5,0,0,0,307,0,79,52,25,0,0,0,468,99.2,99.2,94.8,102.4,177,136,24,538,199,158,38,164,40,62,5.2,7,3140,2308,196,2504,250,386,636,49,1059639
SOUTH CAROLINA,2017,346582,390,2504,3870,18668,160575,31306,115012,14257,3945234,2311766,58.6,2212845,56.1,98921,4.3,37755,40204,1,2,35,1,0,19,4253,2,1012,603,490,0,0,5,6423,90.7,96.6,77.1,94.4,423,257,80,1856,1097,894,166,704,156,257,5.2,7,11876,7264,1116,8380,1448,2048,3496,283,3599207
SOUTH DAKOTA,2017,36405,25,595,238,2913,16317,2707,12227,1383,661316,456240,69,441604,66.8,14636,3.2,45049,52263,2,1,2,0,0,5,302,2,75,202,88,0,0,1,680,88.5,94.8,70.1,91.3,78,46,8,411,199,154,28,113,28,43,5.2,7,2971,1630,150,1780,523,668,1191,132,858099
TENNESSEE,2017,438731,527,2934,7862,32432,197488,38716,140248,18524,5267439,3185241,60.5,3065279,58.2,119962,3.8,40956,46780,0,2,91,2,0,33,7328,16,1689,1240,751,3,0,13,11168,89.7,96.1,76.2,91.7,688,418,102,2395,1634,1283,264,977,228,365,5.2,7,26765,15082,1654,16736,4711,5318,10029,438,6621003
TEXAS,2017,1574894,1412,14470,32267,76089,725328,134066,523221,68041,21264039,13574795,63.8,12989682,61.1,585113,4.3,43509,58182,9,10,160,2,1,56,18619,58,3231,3486,2262,20,2,42,27958,96.8,97.1,94.4,98,2163,1239,323,10485,5030,4105,763,3309,754,1168,5.2,7,70987,38154,5545,43699,11357,15931,27288,542,21164901
UTAH,2017,179886,73,1697,1468,4172,86238,11817,64892,9529,2246474,1546987,68.9,1496465,66.6,50522,3.3,39071,49380,0,0,10,1,0,20,962,2,209,321,136,3,0,4,1668,95.9,95.1,93.8,98.5,226,138,40,693,359,316,132,500,128,193,5.2,7,7196,4633,355,4988,936,1272,2208,132,3073003
VERMONT,2017,18954,14,218,92,710,8960,1854,6912,194,516063,345734,67,335571,65,10163,2.9,46457,47100,0,0,0,0,0,0,65,0,15,44,31,0,0,0,155,103.2,99.1,116.3,102.4,122,97,19,331,141,109,27,99,27,38,5.2,7,1506,1084,112,1196,106,204,310,85,614709
VIRGINIA,2017,321342,453,2862,4332,9985,151855,18468,123215,10172,6593273,4311176,65.4,4151746,63,159430,3.7,48172,54917,0,5,54,1,0,6,6708,31,1229,1199,784,1,0,3,10021,102,99.3,108.8,100.9,759,452,132,3598,1457,1169,255,1195,268,431,5.2,7,24025,16632,2404,19036,1323,3666,4989,283,8468094
WASHINGTON,2017,492602,230,3255,5390,13673,235027,43720,162511,28796,5840314,3726120,63.8,3551136,60.8,174984,4.7,52180,65169,4,3,43,0,0,5,2702,25,752,986,574,6,0,2,5102,106.8,104.9,119.4,101.9,1298,890,139,3334,1230,994,301,1277,283,477,5.2,7,15385,9664,1054,10718,1789,2878,4667,254,7377379
WEST VIRGINIA,2017,73628,85,795,524,4964,33630,7628,23000,3002,1463553,778975,53.2,738468,50.5,40507,5.2,34986,38472,0,2,25,2,1,5,949,10,253,464,238,0,0,1,1950,87.2,94.7,61.3,95.8,187,111,25,603,576,456,81,326,68,121,5.2,7,4689,3529,140,3669,414,606,1020,352,1804892
WISCONSIN,2017,228143,186,2139,4345,11869,104802,17599,77735,9468,4587157,3133405,68.3,3030655,66.1,102750,3.3,43455,50889,2,4,19,1,0,4,3398,3,474,552,338,0,0,1,4796,92.4,96.2,84.1,92.4,563,359,96,2957,1206,970,217,822,204,333,5.2,7,18406,11149,1721,12870,2342,3194,5536,410,5759066
WYOMING,2017,22584,15,263,76,1022,10604,1593,8232,779,447978,293072,65.4,280886,62.7,12186,4.2,50801,65633,0,0,4,0,0,3,150,1,34,67,28,1,0,1,289,94.5,97.7,85.6,95,53,31,7,235,126,94,21,88,19,31,5.2,7,2025,1105,138,1243,284,498,782,56,551545
ALABAMA,2018,300799,383,1996,4076,18944,137700,28841,95747,13112,3846172,2216627,57.6,2130845,55.4,85782,3.9,38217,40599,4,4,51,0,1,9,4559,6,761,688,422,6,0,1,6512,86.4,96.2,61.8,91.7,476,316,68,1778,1189,969,214,794,165,311,5.4,6.9,15855,9763,898,10661,2000,3194,5194,376,4764354
ALASKA,2018,55204,47,1192,896,4391,24339,3979,16364,3996,545955,352662,64.6,329901,60.4,22761,6.5,54601,72221,1,1,8,0,0,1,518,5,123,240,112,0,0,1,1010,104.8,101.9,125.9,97.3,129,92,13,298,137,98,28,108,31,42,5.4,6.9,1985,1162,124,1286,263,436,699,38,737438
ARIZONA,2018,418006,369,3638,6523,23528,191974,31532,141303,19139,5598000,3422583,61.1,3260518,58.2,162065,4.7,40031,43546,9,6,37,1,0,68,5065,186,885,1435,543,7,0,9,8251,96.5,95.7,94.3,99.1,921,611,113,2905,1220,994,257,1030,237,383,5.4,6.9,22428,11357,1399,12756,4417,5255,9672,114,7170315
ARKANSAS,2018,191970,216,2196,1594,12378,87793,19193,61487,7113,2332910,1353305,58,1303995,55.9,49310,3.6,39224,38971,0,1,20,0,0,2,1547,3,312,279,149,1,0,1,2315,85.3,95,60.8,92.5,306,201,34,991,747,591,125,457,106,186,5.4,6.9,10628,6123,620,6743,1533,2352,3885,303,3009746
CALIFORNIA,2018,2060218,1739,15505,54326,105412,941618,164632,621775,155211,30982666,19280821,62.2,18460725,59.6,820096,4.3,54932,68970,15,23,319,6,9,193,22517,284,6505,8262,4253,10,1,91,42488,115.4,103.8,152.5,107.4,5672,3742,912,16858,4914,3943,1243,5566,1232,2019,5.4,6.9,120041,68663,10478,79141,15339,25561,40900,465,33867039
COLORADO,2018,326950,210,4070,3797,14547,152163,21371,109119,21673,4471262,3080661,68.9,2983498,66.7,97163,3.2,51444,59930,1,2,30,0,2,25,3412,20,631,834,449,4,0,4,5414,101.9,98,120.7,96.5,1193,779,177,2859,991,793,242,924,237,368,5.4,6.9,18510,10791,1721,12512,2181,3817,5998,239,5690128
CONNECTICUT,2018,127521,83,840,2194,4294,60055,7948,44724,7383,2882304,1900664,65.9,1821891,63.2,78773,4.1,65084,68577,0,0,9,1,0,12,780,8,241,270,144,0,0,4,1469,106.1,103,109.4,107.2,522,347,62,1869,595,457,121,531,125,196,5.4,6.9,9283,6970,822,7792,596,895,1491,106,3572665
DELAWARE,2018,49059,48,338,866,2845,22481,3158,17847,1476,770007,481773,62.6,463542,60.2,18231,3.8,46487,65009,1,0,5,0,0,2,694,2,132,126,134,0,0,1,1097,98.8,98.8,92.3,103.4,130,85,18,425,189,153,42,149,38,60,5.4,6.9,3305,2043,272,2315,377,613,990,55,964931
FLORIDA,2018,1054014,1107,8438,16884,55551,486017,71933,372919,41165,17183266,10173537,59.2,9808656,57.1,364881,3.6,45390,43535,4,7,122,3,2,91,15662,274,3010,2730,1512,23,0,18,23458,100.6,98.3,107.9,98.3,2400,1573,354,9012,3568,2907,648,2889,610,1021,5.4,6.9,68605,36327,6553,42880,9951,15774,25725,333,19436120
GEORGIA,2018,575831,642,2651,8279,22783,270738,45369,200609,24760,8091404,5080472,62.8,4880038,60.3,200434,3.9,41611,50327,4,0,93,2,2,23,11842,13,1808,1439,831,0,1,0,16058,93,97.2,82,96.1,1065,658,154,3988,1971,1510,336,1405,314,551,5.4,6.9,36833,22481,4769,27250,3048,6535,9583,527,10012759
HAWAII,2018,85076,36,625,946,1925,40772,5631,29492,5649,1093097,675184,61.8,658256,60.2,16928,2.5,49483,58181,0,0,0,0,0,0,78,3,25,43,26,0,0,1,176,118.1,110.9,148.9,104.6,155,97,24,540,184,150,41,187,49,66,5.4,6.9,3624,2544,300,2844,243,537,780,4,1420491
IDAHO,2018,55255,35,791,200,2957,25636,4940,18732,1964,1334714,857207,64.2,832286,62.4,24921,2.9,39670,40274,0,2,9,1,0,2,751,0,164,292,128,4,0,0,1353,92.5,97,80.1,96.2,177,107,19,632,301,239,71,311,69,107,5.4,6.9,5567,2689,205,2894,1134,1539,2673,108,1751570
ILLINOIS,2018,544018,884,5859,14208,30539,246264,39080,187591,19593,10019831,6463957,64.5,6184805,61.7,279152,4.3,49960,60504,9,6,92,2,0,19,10243,20,1885,1065,704,1,0,16,14062,98.1,98.5,96.5,98.6,1496,964,234,5894,2162,1763,403,1754,376,661,5.4,6.9,36749,22164,4580,26744,5343,4662,10005,371,8323221
INDIANA,2018,317257,438,2370,5939,16834,145838,25268,105242,15328,5209267,3381609,64.9,3263751,62.7,117858,3.5,42360,49182,4,1,53,3,0,8,5936,13,965,874,627,2,0,7,8493,89.3,96.4,74.3,91.9,797,530,115,2743,1474,1204,264,1129,262,434,5.4,6.9,12513,8208,1141,9349,1322,1842,3164,121,4230746
IOWA,2018,114663,54,976,932,5931,53385,11127,37571,4687,2459099,1690960,68.8,1646708,67,44252,2.6,45073,54650,0,2,20,0,0,1,1488,8,288,430,340,0,0,0,2577,89.2,94.9,74.3,91.3,300,172,37,1504,659,520,128,473,129,197,5.4,6.9,7530,4350,366,4716,1213,1601,2814,219,2710078
KANSAS,2018,166154,113,1567,1543,9559,76686,12537,56305,7844,2222000,1477847,66.5,1429229,64.3,48618,3.3,46060,53096,0,1,15,0,0,8,2348,11,344,434,230,3,0,2,3396,90,95.2,75.3,93,298,140,38,1282,576,446,111,420,103,161,5.4,6.9,8992,5887,688,6575,819,1598,2417,305,2578157
KENTUCKY,2018,184857,244,1707,2457,5059,87695,17190,60244,10261,3484001,2057791,59.1,1968611,56.5,89180,4.3,38137,41966,2,0,64,0,0,20,3917,10,859,584,336,1,1,53,5847,87.8,94.8,67.8,91.8,438,284,62,1449,1160,938,189,746,157,284,5.4,6.9,9588,6897,489,7386,869,1333,2202,273,3691938
LOUISIANA,2018,330371,530,2085,4568,17866,152661,31132,109993,11536,3580744,2104497,58.8,2001995,55.9,102502,4.9,42058,50942,4,5,40,1,0,13,6814,9,1242,1023,662,4,0,6,9823,89.1,96.4,73.8,92.4,435,276,56,1875,1101,839,179,715,159,286,5.4,6.9,18554,10990,2970,13960,1592,3002,4594,185,4200142
MAINE,2018,37847,24,446,228,803,18173,2713,14683,777,1104124,695679,63,673150,61,22529,3.2,43887,42904,2,0,1,0,0,1,226,1,40,108,61,0,0,1,441,100,99,97.7,102.5,263,183,23,638,260,219,61,223,52,89,5.4,6.9,2932,2162,187,2349,214,369,583,133,1331125
MARYLAND,2018,274048,490,1979,9716,16135,122864,18892,91835,12137,4748377,3221603,67.8,3094569,65.2,127034,3.9,55191,61112,1,13,63,3,4,15,5088,131,1681,2478,1549,45,0,25,11096,108.4,103.1,119.1,106,682,469,96,2851,934,742,181,781,188,293,5.4,6.9,19916,13353,2057,15410,1620,2886,4506,149,6041598
MASSACHUSETTS,2018,197729,136,2410,4143,16648,87196,13862,66728,6606,5612547,3785489,67.4,3658286,65.2,127203,3.4,61320,73529,0,2,18,0,0,12,1201,15,327,241,163,0,0,0,1979,109.7,102.2,124,108.3,1136,761,170,3593,1145,929,260,1155,268,393,5.4,6.9,20340,15220,1497,16717,1505,2118,3623,306,6428834
MICHIGAN,2018,375478,551,7690,5656,31021,165280,31651,116178,17451,7975294,4908714,61.5,4705360,59,203354,4.1,43030,47128,0,7,31,0,0,19,4025,35,688,751,471,0,0,9,6036,92.4,97.3,80.2,94.5,1457,1008,161,4455,2019,1629,355,1469,319,573,5.4,6.9,23991,15076,2153,17229,3559,3203,6762,609,9334869
MINNESOTA,2018,236117,106,2462,2944,6857,111874,16185,85561,10128,4390114,3071433,70,2981153,67.9,90280,2.9,49946,59562,1,1,27,2,0,21,2211,13,433,712,477,1,0,10,3909,97.5,101.7,94.7,94.7,674,416,110,2626,994,785,184,819,195,315,5.4,6.9,15264,8755,1172,9927,2429,2908,5337,396,5605723
MISSISSIPPI,2018,150531,171,537,1595,4696,71766,20839,46627,4300,2286292,1269134,55.5,1207680,52.8,61454,4.8,34817,34497,2,1,27,0,0,16,2661,12,547,608,325,4,0,2,4205,86,94.4,63.1,91.8,258,159,35,958,753,602,120,431,107,171,5.4,6.9,4240,2413,287,2700,595,945,1540,62,1048379
MISSOURI,2018,355104,607,2912,5197,22042,162173,27257,115101,19815,4791342,3053105,63.7,2956667,61.7,96438,3.2,42681,46544,5,3,60,6,0,12,6282,64,829,963,460,5,0,1,8690,88.8,95.2,72.3,92.2,686,408,72,2450,1273,1051,255,993,219,420,5.4,6.9,20226,12943,1485,14428,2301,3497,5798,503,5980758
MONTANA,2018,57010,34,551,269,3120,26518,3257,20465,2796,842073,528834,62.8,509568,60.5,19266,3.6,42693,43576,0,0,9,1,0,0,399,9,113,307,105,1,1,2,947,93.3,98,82.8,94.4,163,121,16,505,223,169,44,163,42,63,5.4,6.9,2902,1706,133,1839,472,591,1063,100,1017708
NEBRASKA,2018,85746,44,1233,756,3461,40126,5246,30006,4874,1471236,1023491,69.6,993561,67.5,29930,2.9,48022,59290,0,1,13,0,0,21,1045,44,217,361,286,2,0,0,1990,89.5,95,75.7,91.4,180,120,28,880,378,295,62,257,61,97,5.4,6.9,5398,3370,427,3797,559,1042,1601,162,1912427
NEVADA,2018,164390,202,2329,3862,10027,73985,17743,44338,11904,2375408,1503683,63.3,1436891,60.5,66792,4.4,44148,49476,0,1,16,1,0,17,2351,12,373,505,239,0,0,2,3517,97.5,94.5,99.2,99.9,518,358,56,1223,616,498,109,474,107,162,5.4,6.9,9110,5588,685,6273,847,1990,2837,50,3034392
NEW HAMPSHIRE,2018,36219,21,534,359,1435,16935,1847,14219,869,1112588,762758,68.6,743182,66.8,19576,2.6,55112,56029,0,0,1,0,0,2,296,4,48,76,48,3,0,0,478,106,101.2,113.7,106.1,224,158,31,729,237,178,57,221,53,88,5.4,6.9,3689,2572,266,2838,254,597,851,174,1279586
NEW JERSEY,2018,268849,286,1424,6364,10463,125156,19232,94887,11037,7062342,4432520,62.8,4250796,60.2,181724,4.1,59330,62543,1,1,25,0,0,10,2483,2,826,387,295,0,0,4,4034,115.2,102.6,131.1,116.3,856,559,109,3903,1416,1149,248,1112,239,385,5.4,6.9,40847,28659,3158,31817,3521,5509,9030,531,8638529
NEW MEXICO,2018,161263,167,1354,2830,13598,71657,16088,45390,10179,1630508,938245,57.5,892331,54.7,45914,4.9,38117,44728,1,2,10,0,0,21,1556,15,305,400,227,13,0,1,2551,91.1,95.5,76.3,98.4,298,210,35,788,415,340,71,300,67,114,5.4,6.9,3877,2433,277,2710,433,734,1167,100,994639
NEW YORK,2018,631509,562,6575,18187,43171,281507,31137,237233,13137,15692083,9521869,60.7,9127699,58.2,394170,4.1,58040,73508,0,4,67,0,0,9,4412,39,1553,946,655,1,0,3,7689,116.4,108.5,131.4,114.4,2384,1543,434,8693,2956,2421,591,2802,558,987,5.4,6.9,84204,53072,9255,62327,7860,14017,21877,412,18697787
NORTH CAROLINA5,2018,557168,628,2633,8423,27526,258979,62290,179057,17632,8137246,4986138,61.3,4787719,58.8,198419,4,41057,47905,1,3,91,0,0,34,9397,12,2002,1909,1454,1,0,9,14913,91.8,96.4,79,94.5,1014,619,156,3961,2059,1651,356,1469,358,548,5.4,6.9,34100,21179,2825,24004,4565,5531,10096,520,10377256
NORTH DAKOTA,2018,33147,18,397,158,1560,15507,2724,11008,1775,580356,403583,69.5,393199,67.8,10384,2.6,50169,69746,0,0,4,0,0,0,357,2,61,150,90,0,0,1,665,90.6,94.9,80.9,91.2,69,44,9,349,160,123,28,108,29,47,5.4,6.9,2477,1562,214,1776,251,450,701,106,759138
OHIO,2018,541715,564,5300,9185,17674,254496,48186,186401,19909,9215419,5780747,62.7,5521681,59.9,259066,4.5,43628,51848,0,8,78,0,1,34,9308,31,1512,1151,799,2,0,4,12928,88.4,96,72,91.2,1243,763,152,4905,2563,2065,478,1906,461,713,5.4,6.9,19868,13323,1653,14976,1847,3045,4892,287,6795599
OKLAHOMA,2018,245108,206,2299,2791,13084,113364,26858,73217,13289,3010984,1840609,61.1,1777564,59,63045,3.4,42038,49876,2,3,17,1,0,8,1880,32,247,497,218,8,0,2,2915,88.4,95.6,70.1,92.5,381,225,61,1493,905,724,152,592,132,237,5.4,6.9,13016,8107,786,8893,1616,2507,4123,414,3938268
OREGON,2018,254522,82,1975,2549,7360,121278,16304,88418,16556,3370555,2097202,62.2,2012235,59.7,84967,4.1,44490,51786,3,4,30,3,0,4,2492,10,634,1189,487,3,0,0,4859,101.1,100.4,107.8,97.8,930,640,107,2003,733,578,172,731,175,289,5.4,6.9,10664,5856,697,6553,1757,2354,4111,206,4111065
PENNSYLVANIA,2018,420824,784,4483,9848,24077,190816,27104,150596,13116,10262106,6423711,62.6,6150782,59.9,272929,4.2,49893,55607,10,4,59,3,0,17,6878,28,1669,1474,907,6,0,11,11066,97.5,99.7,87.3,101.3,1441,862,226,5970,2644,2070,447,1814,416,724,5.4,6.9,29181,22863,2642,25505,1282,2394,3676,1074,9791899
RHODE ISLAND,2018,37439,16,481,454,1366,17561,2810,13220,1531,861299,554554,64.4,532478,61.8,22076,4,48697,50671,1,0,3,0,0,1,300,1,65,93,46,0,0,0,510,99.3,98.9,95.6,102.3,177,127,23,522,181,150,41,178,39,67,5.4,6.9,3113,2296,198,2494,245,374,619,49,1057315
SOUTH CAROLINA,2018,331667,392,2434,3553,18446,153421,29473,109616,14332,4002506,2339939,58.5,2259057,56.4,80882,3.5,39401,40755,1,1,44,0,0,7,4802,8,926,735,487,4,0,2,7017,91.1,96.6,76.7,94.5,532,328,86,2038,1098,896,183,706,189,270,5.4,6.9,15215,9999,1554,11553,1292,2370,3662,335,4651913
SOUTH DAKOTA,2018,34072,12,614,262,2682,15251,2571,11156,1524,666848,459565,68.9,445472,66.8,14093,3.1,47947,52908,0,0,4,1,0,2,341,1,62,220,108,0,0,0,739,87.9,94.8,69.9,91.1,79,47,8,406,184,135,30,112,27,41,5.4,6.9,3008,1615,156,1771,585,652,1237,129,862436
TENNESSEE,2018,424784,498,2821,7190,31717,191279,33132,137708,20439,5323707,3254261,61.1,3139888,59,114373,3.5,42912,47799,7,1,89,3,4,143,8221,16,1511,1207,755,3,0,22,11982,89.9,96.2,75.1,91.7,679,451,103,2411,1563,1183,252,937,230,356,5.4,6.9,27737,15610,1753,17363,4876,5498,10374,454,6766324
TEXAS,2018,1476787,1322,14693,28256,73656,679430,117911,491702,69817,21589964,13816690,64,13285118,61.5,531572,3.8,46021,59827,3,4,165,3,0,58,20182,136,3232,3925,2101,12,0,13,29834,96.8,96.9,94.5,98.2,2315,1284,317,10498,4832,3918,796,3347,756,1218,5.4,6.9,70186,38960,5897,44857,10239,15090,25329,570,20609733
UTAH,2018,157680,60,1753,1236,4319,75156,9968,57460,7728,2297966,1569969,68.3,1522290,66.2,47679,3,41377,50356,0,1,10,0,0,75,1277,3,216,346,177,1,0,0,2106,96.6,95.1,96.1,99,244,137,39,679,361,298,139,550,141,217,5.4,6.9,7235,4728,378,5106,893,1236,2129,134,3146133
VERMONT,2018,17149,10,287,70,710,8036,1467,6316,253,517174,345300,66.8,336496,65.1,8804,2.5,48771,47649,0,0,0,0,0,2,108,5,27,74,36,0,0,0,252,103,98.9,112.5,102.3,129,100,18,334,129,102,27,104,26,43,5.4,6.9,1815,1242,150,1392,139,284,423,86,606587
VIRGINIA,2018,300802,391,2924,3604,10113,141885,15574,115533,10778,6633698,4341153,65.4,4209651,63.5,131502,3,50725,56110,0,0,55,3,0,19,7166,20,1139,1116,630,4,0,4,10156,102,99.4,108.8,100.8,773,477,126,3538,1391,1075,264,1115,267,402,5.4,6.9,24272,16719,2539,19258,1344,3670,5014,284,8516800
WASHINGTON,2018,467494,236,3413,5572,14251,222011,40201,154133,27677,5933401,3807013,64.2,3637581,61.3,169432,4.5,55538,68007,4,3,29,3,1,20,3045,27,650,874,458,4,0,2,5120,107.8,104.8,123.8,102.2,1380,971,150,3479,1319,1079,300,1269,303,487,5.4,6.9,15873,9754,1066,10820,2071,2982,5053,257,7507712
