State,Year,Crime_Total_Offense,Crime_Murder_Slaughter,Crime_Forcible_Rape,Crime_Robbery,Crime_Aggrevated_Assault,Crime_Property,Crime_Burglary,Crime_Larcency,Crime_Motor_Vehicle_Theft,Eco_Civilian_non_institutional_population,Eco_Total_Civilian_labourforce,Eco_Percent_of_population_Civilian_labourforce,Eco_Total_Employment_Civilian_labourforce,Eco_Percent_of_population_Employment_Civilian_labourforce,Eco_Total_Unemployment_Civilian_labourforce,Eco_Rate_Unemployment_Civilian_labourforce,Eco_Per_capita_disposable_personal_income,Eco_Per_Capita_GDP,Arms_AnyOtherWeapons,Arms_Combinations,Arms_Derringers,Arms_DestructiveDevices,Arms_FlareGuns,Arms_Machineguns,Arms_Pistols,Arms_Receivers_Frames,Arms_Revolvers,Arms_Rifles,Arms_Shotguns,Arms_Silencers,Arms_TearGasLaunchers,Arms_UnknownTypes,Arms_Total_Weapons,RPPs_All_items,RPPs_Goods,RPPs_Services_Rents,RPPs_Services_Other,Marijuana_Use_PastYear, Marijuana_Use_PastMonth,Cocaine,Alcohol,Tobacco,Cigarette,Serious_Mental_Illness,Any_Mental_Illness,Serious_Suicide_Thoughts,Major_Depression,Economic_BigMacIndex,Economic_HappinessIndex,PF_Total_law_enforcement_employees,PF_Total_officers_Male,PF_Total_officers_Female,PF_Total_Officers,PF_Total_civilians_Male,PF_Total_civilians_Female,PF_Total_civilians,PF_Number_of_agencies,PF_estimated_population
NEW YORK,2016,684647,630,6260,22316,45079,305181,39821,250968,14392,15727307,9551928,60.7,9088257,57.8,463671,4.9,51390,70781,4,1,76,0,0,8,4373,44,1880,1168,781,0,0,3,8338,116.4,108.7,133,113.9,2316,1520,392,9002,3626,2987,626,2692,605,1026,5,7.1,64503,,,47424,,,17079,,13988605
NORTH CAROLINA5,2016,593299,678,2849,9336,24906,277765,72082,190377,15306,7906617,4860052,61.5,4613476,58.3,246576,5.1,37734,46809,2,4,88,2,0,192,7341,8,2035,1698,1343,0,0,3,12716,91.3,96.3,78.5,94.4,910,601,154,3655,2129,1754,358,1440,321,536,5,7.1,14905,,,12289,,,2616,,5455051
NORTH DAKOTA,2016,36707,15,342,181,1365,17402,3243,12195,1964,579709,412469,71.2,399691,68.9,12778,3.1,47311,67648,0,0,3,0,0,2,275,2,61,212,118,0,0,1,674,91.4,95,82.7,91.4,54,32,7,364,175,132,23,97,24,39,5,7.1,989,,,819,,,170,,516168
OHIO,2016,633591,654,5589,12523,16111,299357,66883,212807,19667,9154132,5743201,62.7,5454611,59.6,288590,5,40041,50290,6,3,85,2,0,16,7162,5,1578,763,638,0,0,5,10263,89.1,96,72.7,91.3,1235,813,157,4971,2820,2271,453,1741,394,693,5,7.1,10535,,,8762,,,1773,,4278131
OKLAHOMA,2016,251722,245,2039,3162,12202,117037,29103,75779,12155,2989446,1831712,61.3,1743766,58.3,87946,4.8,37895,48419,0,1,14,1,0,3,868,116,228,326,173,0,0,1,1731,88.7,95.5,70.1,92.4,322,175,43,1324,965,771,132,545,109,216,5,7.1,6807,,,5273,,,1534,,2887671
OREGON,2016,253520,113,1721,2278,6718,121345,16866,91286,13193,3276741,2047313,62.5,1948757,59.5,98556,4.8,40344,49132,3,3,24,0,0,12,1758,5,545,849,398,2,0,4,3603,100.5,100.4,105.9,97.3,732,513,83,1996,767,615,164,714,160,249,5,7.1,4735,,,3541,,,1194,,2650402
PENNSYLVANIA,2016,486037,661,4433,12326,23027,222795,35520,174228,13047,10227245,6448789,63.1,6102096,59.7,346693,5.4,45539,53969,4,11,68,2,2,19,5465,6,1626,1279,789,1,0,15,9287,98.1,99.7,88.7,101.5,1314,831,197,5957,2865,2292,416,1861,438,677,5,7.1,21344,,,18336,,,3008,,9719510
RHODE ISLAND,2016,42640,29,442,540,1513,20058,3788,14674,1596,857345,553177,64.5,524493,61.2,28684,5.2,44649,50239,0,0,6,0,1,0,250,0,75,49,34,0,0,0,415,100.6,99.1,100.4,102.4,171,130,25,543,214,171,35,160,37,60,5,7.1,2613,,,2101,,,512,,1049871
SOUTH CAROLINA,2016,346752,366,2387,4035,18108,160928,32976,114032,13920,3884049,2296800,59.1,2181587,56.2,115213,5,36218,39423,2,2,26,0,0,3,3363,13,839,503,487,9,0,0,5247,90.7,96.6,77.1,94.4,407,256,68,1829,1121,909,149,677,139,243,5,7.1,5868,,,4755,,,1113,,1670120
SOUTH DAKOTA,2016,37903,27,509,272,2813,17141,3000,12639,1502,654110,452794,69.2,439302,67.2,13492,3,44222,52938,0,1,2,0,0,2,296,1,70,172,103,2,0,1,650,88.3,94.9,69.2,91.3,75,49,8,404,198,160,26,113,24,43,5,7.1,978,,,807,,,171,,501680
TENNESSEE,2016,421767,486,2714,7813,31084,189835,40312,134404,15119,5209936,3123283,59.9,2976105,57.1,147178,4.7,39847,46348,12,1,105,2,0,15,6402,10,1596,1147,812,2,0,27,10131,89.6,96.1,75.7,91.7,649,402,91,2329,1644,1345,250,986,229,355,5,7.1,11119,,,9258,,,1861,,3864355
TEXAS,2016,1658936,1478,13367,33317,72880,768947,148740,551151,69056,20910365,13335578,63.8,12720226,60.8,615352,4.6,41312,57327,3,9,160,6,1,57,15740,210,3032,3337,2235,6,0,26,24822,96.6,97.1,93.7,98,2013,1178,302,10311,5051,4083,650,3196,699,1132,5,7.1,44448,,,34095,,,10353,,18923828
UTAH,2016,187523,72,1520,1541,4274,90058,12836,67834,9388,2192066,1505449,68.7,1453543,66.3,51906,3.4,37573,48462,0,0,11,0,0,34,804,9,172,352,168,1,0,3,1554,96,95.1,94.2,98.5,201,112,28,693,357,311,108,464,117,162,5,7.1,3416,,,2723,,,693,,2263977
VERMONT,2016,22193,14,178,106,691,10602,2103,8217,282,514801,344748,67,333628,64.8,11120,3.2,45484,47082,0,0,3,0,0,5,73,1,35,46,22,0,0,1,186,102.6,99.1,113,102.4,112,88,16,321,148,119,27,104,27,38,5,7.1,806,,,629,,,177,,355469
VIRGINIA,2016,331126,484,2737,4803,10278,156412,20018,126606,9788,6538863,4243060,64.9,4069395,62.2,173665,4.1,46743,54301,2,8,43,2,0,20,5547,14,1077,1088,636,3,0,9,8449,102.2,99.3,109.6,100.9,702,443,100,3549,1618,1332,291,1261,251,501,5,7.1,8624,,,7013,,,1611,,3042371
WASHINGTON,2016,531329,195,3077,5651,13100,254653,49180,173187,32286,5728678,3644319,63.6,3452854,60.3,191465,5.3,49670,63025,2,4,32,2,0,15,2236,9,601,906,453,5,0,3,4268,106.1,104.9,116,101.9,1068,682,113,3317,1175,938,264,1139,260,422,5,7.1,8588,,,6659,,,1929,,4626769
WEST VIRGINIA,2016,81531,81,657,720,5099,37487,9301,25677,2509,1472861,782299,53.1,734547,49.9,47752,6.1,33432,37630,0,2,22,0,0,4,827,0,265,368,214,1,0,3,1706,87.8,94.7,63.1,95.8,163,98,23,622,581,455,74,300,62,118,5,7.1,1664,,,1456,,,208,,596320
WISCONSIN,2016,241119,229,1979,4706,10765,111720,19425,82337,9958,4564350,3123595,68.4,2998625,65.7,124970,4,41911,50367,2,1,31,0,0,7,2970,9,616,593,455,1,0,20,4705,92.6,96.2,84.7,92.5,530,328,64,2909,1208,978,187,817,195,298,5,7.1,9392,,,7850,,,1542,,3907946
WYOMING,2016,24350,20,205,59,1146,11460,1771,8889,800,450277,300344,66.7,284285,63.1,16059,5.3,49319,65135,1,0,8,1,0,3,112,1,44,71,24,0,0,0,265,95.9,97.7,92.8,95,46,28,6,246,134,102,20,85,18,33,5,7.1,936,,,689,,,247,,368738
